Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,Ht,OD,bf,B,tw,tf,tnom,tdes,Ix,Iy,J
HSS,HSS12X4X.500,HSS12X4X1/2,48.85,13.5,,12,,,4,,,0.5,0.465,210,35.3,105
HSS,HSS12X4X.375,HSS12X4X3/8,37.69,10.4,,12,,,4,,,0.375,0.349,168,28.9,84.1
HSS,HSS12X4X.313,HSS12X4X5/16,31.84,8.76,,12,,,4,,,0.3125,0.291,144,25.2,72.4
HSS,HSS12X4X.250,HSS12X4X1/4,25.82,7.1,,12,,,4,,,0.25,0.233,119,21,59.8
HSS,HSS12X4X.188,HSS12X4X3/16,19.63,5.37,,12,,,4,,,0.1875,0.174,91.8,16.4,46.1
HSS,HSS12X3X.313,HSS12X3X5/16,29.72,8.17,,12,,,3,,,0.3125,0.291,124,13.1,41.3
HSS,HSS12X3X.250,HSS12X3X1/4,24.12,6.63,,12,,,3,,,0.25,0.233,103,11.1,34.5
HSS,HSS12X3X.188,HSS12X3X3/16,18.35,5.02,,12,,,3,,,0.1875,0.174,79.6,8.72,26.8
HSS,HSS12X2X.313,HSS12X2X5/16,27.59,7.59,,12,,,2,,,0.3125,0.291,104,5.1,17.6
HSS,HSS12X2X.250,HSS12X2X1/4,22.42,6.17,,12,,,2,,,0.25,0.233,86.9,4.41,15.1
HSS,HSS12X2X.188,HSS12X2X3/16,17.08,4.67,,12,,,2,,,0.1875,0.174,67.4,3.55,12
HSS,HSS10X10X.750,HSS10X10X3/4,89.5,24.7,,10,,,10,,,0.75,0.698,347,347,578
HSS,HSS10X10X.625,HSS10X10X5/8,76.33,21,,10,,,10,,,0.625,0.581,304,304,498
HSS,HSS10X10X.500,HSS10X10X1/2,62.46,17.2,,10,,,10,,,0.5,0.465,256,256,412
HSS,HSS10X10X.375,HSS10X10X3/8,47.9,13.2,,10,,,10,,,0.375,0.349,202,202,320
HSS,HSS10X10X.313,HSS10X10X5/16,40.35,11.1,,10,,,10,,,0.3125,0.291,172,172,271
HSS,HSS10X10X.250,HSS10X10X1/4,32.63,8.96,,10,,,10,,,0.25,0.233,141,141,220
HSS,HSS10X10X.188,HSS10X10X3/16,24.73,6.76,,10,,,10,,,0.1875,0.174,108,108,167
HSS,HSS10X8X.625,HSS10X8X5/8,67.82,18.7,,10,,,8,,,0.625,0.581,253,178,346
HSS,HSS10X8X.500,HSS10X8X1/2,55.66,15.3,,10,,,8,,,0.5,0.465,214,151,288
HSS,HSS10X8X.375,HSS10X8X3/8,42.79,11.8,,10,,,8,,,0.375,0.349,169,120,224
HSS,HSS10X8X.313,HSS10X8X5/16,36.1,9.92,,10,,,8,,,0.3125,0.291,145,103,190
HSS,HSS10X8X.250,HSS10X8X1/4,29.23,8.03,,10,,,8,,,0.25,0.233,119,84.7,155
HSS,HSS10X8X.188,HSS10X8X3/16,22.18,6.06,,10,,,8,,,0.1875,0.174,91.4,65.1,118
HSS,HSS10X6X.625,HSS10X6X5/8,59.32,16.4,,10,,,6,,,0.625,0.581,201,89.4,209
HSS,HSS10X6X.500,HSS10X6X1/2,48.85,13.5,,10,,,6,,,0.5,0.465,171,76.8,176
HSS,HSS10X6X.375,HSS10X6X3/8,37.69,10.4,,10,,,6,,,0.375,0.349,137,61.8,139
HSS,HSS10X6X.313,HSS10X6X5/16,31.84,8.76,,10,,,6,,,0.3125,0.291,118,53.3,118
HSS,HSS10X6X.250,HSS10X6X1/4,25.82,7.1,,10,,,6,,,0.25,0.233,96.9,44.1,96.7
HSS,HSS10X6X.188,HSS10X6X3/16,19.63,5.37,,10,,,6,,,0.1875,0.174,74.6,34.1,73.8
HSS,HSS10X5X.375,HSS10X5X3/8,35.13,9.67,,10,,,5,,,0.375,0.349,120,40.6,100
HSS,HSS10X5X.313,HSS10X5X5/16,29.72,8.17,,10,,,5,,,0.3125,0.291,104,35.2,86
HSS,HSS10X5X.250,HSS10X5X1/4,24.12,6.63,,10,,,5,,,0.25,0.233,85.8,29.3,70.7
HSS,HSS10X4X.625,HSS10X4X5/8,50.81,14,,10,,,4,,,0.625,0.581,149,33.5,95.7
HSS,HSS10X4X.500,HSS10X4X1/2,42.05,11.6,,10,,,4,,,0.5,0.465,129,29.5,82.6
HSS,HSS10X4X.375,HSS10X4X3/8,32.58,8.97,,10,,,4,,,0.375,0.349,104,24.3,66.5
HSS,HSS10X4X.313,HSS10X4X5/16,27.59,7.59,,10,,,4,,,0.3125,0.291,90.1,21.2,57.3
HSS,HSS10X4X.250,HSS10X4X1/4,22.42,6.17,,10,,,4,,,0.25,0.233,74.7,17.7,47.4
HSS,HSS10X4X.188,HSS10X4X3/16,17.08,4.67,,10,,,4,,,0.1875,0.174,57.8,13.9,36.5
HSS,HSS10X4X.125,HSS10X4X1/8,11.56,3.16,,10,,,4,,,0.125,0.116,39.8,9.65,25.1
HSS,HSS10X3-1/2X.375,HSS10X3-1/2X3/8,31.31,8.62,,10,,,3.5,,,0.375,0.349,96.1,17.8,51.5
HSS,HSS10X3-1/2X.313,HSS10X3-1/2X5/16,26.53,7.3,,10,,,3.5,,,0.3125,0.291,83.2,15.6,44.6
HSS,HSS10X3-1/2X.250,HSS10X3-1/2X1/4,21.57,5.93,,10,,,3.5,,,0.25,0.233,69.1,13.1,37
HSS,HSS10X3-1/2X.188,HSS10X3-1/2X3/16,16.44,4.5,,10,,,3.5,,,0.1875,0.174,53.6,10.3,28.6
HSS,HSS10X3X.375,HSS10X3X3/8,30.03,8.27,,10,,,3,,,0.375,0.349,88,12.4,37.8
HSS,HSS10X3X.313,HSS10X3X5/16,25.46,7.01,,10,,,3,,,0.3125,0.291,76.3,11,33
HSS,HSS10X3X.250,HSS10X3X1/4,20.72,5.7,,10,,,3,,,0.25,0.233,63.6,9.28,27.6
HSS,HSS10X3X.188,HSS10X3X3/16,15.8,4.32,,10,,,3,,,0.1875,0.174,49.4,7.33,21.5
HSS,HSS10X3X.125,HSS10X3X1/8,10.71,2.93,,10,,,3,,,0.125,0.116,34.2,5.16,14.9
HSS,HSS10X2X.375,HSS10X2X3/8,27.48,7.58,,10,,,2,,,0.375,0.349,71.7,4.7,15.9
HSS,HSS10X2X.313,HSS10X2X5/16,23.34,6.43,,10,,,2,,,0.3125,0.291,62.6,4.24,14.2
HSS,HSS10X2X.250,HSS10X2X1/4,19.02,5.24,,10,,,2,,,0.25,0.233,52.5,3.67,12.2
HSS,HSS10X2X.188,HSS10X2X3/16,14.53,3.98,,10,,,2,,,0.1875,0.174,41,2.97,9.74
HSS,HSS10X2X.125,HSS10X2X1/8,9.86,2.7,,10,,,2,,,0.125,0.116,28.5,2.14,6.9
HSS,HSS9X9X.625,HSS9X9X5/8,67.82,18.7,,9,,,9,,,0.625,0.581,216,216,356
HSS,HSS9X9X.500,HSS9X9X1/2,55.66,15.3,,9,,,9,,,0.5,0.465,183,183,296
HSS,HSS9X9X.375,HSS9X9X3/8,42.79,11.8,,9,,,9,,,0.375,0.349,145,145,231
HSS,HSS9X9X.313,HSS9X9X5/16,36.1,9.92,,9,,,9,,,0.3125,0.291,124,124,196
HSS,HSS9X9X.250,HSS9X9X1/4,29.23,8.03,,9,,,9,,,0.25,0.233,102,102,159
HSS,HSS9X9X.188,HSS9X9X3/16,22.18,6.06,,9,,,9,,,0.1875,0.174,78.2,78.2,121
HSS,HSS9X9X.125,HSS9X9X1/8,14.96,4.09,,9,,,9,,,0.125,0.116,53.5,53.5,82
HSS,HSS9X7X.625,HSS9X7X5/8,59.32,16.4,,9,,,7,,,0.625,0.581,174,117,235
HSS,HSS9X7X.500,HSS9X7X1/2,48.85,13.5,,9,,,7,,,0.5,0.465,149,100,197
HSS,HSS9X7X.375,HSS9X7X3/8,37.69,10.4,,9,,,7,,,0.375,0.349,119,80.4,154
HSS,HSS9X7X.313,HSS9X7X5/16,31.84,8.76,,9,,,7,,,0.3125,0.291,102,69.2,131
HSS,HSS9X7X.250,HSS9X7X1/4,25.82,7.1,,9,,,7,,,0.25,0.233,84.1,57.2,107
HSS,HSS9X7X.188,HSS9X7X3/16,19.63,5.37,,9,,,7,,,0.1875,0.174,64.7,44.1,81.7
HSS,HSS9X5X.625,HSS9X5X5/8,50.81,14,,9,,,5,,,0.625,0.581,133,52,128
HSS,HSS9X5X.500,HSS9X5X1/2,42.05,11.6,,9,,,5,,,0.5,0.465,115,45.2,109
HSS,HSS9X5X.375,HSS9X5X3/8,32.58,8.97,,9,,,5,,,0.375,0.349,92.5,36.8,86.9
HSS,HSS9X5X.313,HSS9X5X5/16,27.59,7.59,,9,,,5,,,0.3125,0.291,79.8,32,74.4
HSS,HSS9X5X.250,HSS9X5X1/4,22.42,6.17,,9,,,5,,,0.25,0.233,66.1,26.6,61.2
HSS,HSS9X5X.188,HSS9X5X3/16,17.08,4.67,,9,,,5,,,0.1875,0.174,51.1,20.7,46.9
HSS,HSS9X3X.500,HSS9X3X1/2,35.24,9.74,,9,,,3,,,0.5,0.465,80.8,13.2,40
HSS,HSS9X3X.375,HSS9X3X3/8,27.48,7.58,,9,,,3,,,0.375,0.349,66.3,11.2,33.1
HSS,HSS9X3X.313,HSS9X3X5/16,23.34,6.43,,9,,,3,,,0.3125,0.291,57.7,9.88,28.9
HSS,HSS9X3X.250,HSS9X3X1/4,19.02,5.24,,9,,,3,,,0.25,0.233,48.2,8.38,24.2
HSS,HSS9X3X.188,HSS9X3X3/16,14.53,3.98,,9,,,3,,,0.1875,0.174,37.6,6.64,18.9
HSS,HSS8X8X.625,HSS8X8X5/8,59.32,16.4,,8,,,8,,,0.625,0.581,146,146,244
HSS,HSS8X8X.500,HSS8X8X1/2,48.85,13.5,,8,,,8,,,0.5,0.465,125,125,204
HSS,HSS8X8X.375,HSS8X8X3/8,37.69,10.4,,8,,,8,,,0.375,0.349,100,100,160
HSS,HSS8X8X.313,HSS8X8X5/16,31.84,8.76,,8,,,8,,,0.3125,0.291,85.6,85.6,136
HSS,HSS8X8X.250,HSS8X8X1/4,25.82,7.1,,8,,,8,,,0.25,0.233,70.7,70.7,111
HSS,HSS8X8X.188,HSS8X8X3/16,19.63,5.37,,8,,,8,,,0.1875,0.174,54.4,54.4,84.5
HSS,HSS8X8X.125,HSS8X8X1/8,13.26,3.62,,8,,,8,,,0.125,0.116,37.4,37.4,57.3
HSS,HSS8X6X.625,HSS8X6X5/8,50.81,14,,8,,,6,,,0.625,0.581,114,72.3,150
HSS,HSS8X6X.500,HSS8X6X1/2,42.05,11.6,,8,,,6,,,0.5,0.465,98.2,62.5,127
HSS,HSS8X6X.375,HSS8X6X3/8,32.58,8.97,,8,,,6,,,0.375,0.349,79.1,50.6,100
HSS,HSS8X6X.313,HSS8X6X5/16,27.59,7.59,,8,,,6,,,0.3125,0.291,68.3,43.8,85.8
HSS,HSS8X6X.250,HSS8X6X1/4,22.42,6.17,,8,,,6,,,0.25,0.233,56.6,36.4,70.3
HSS,HSS8X6X.188,HSS8X6X3/16,17.08,4.67,,8,,,6,,,0.1875,0.174,43.7,28.2,53.7
HSS,HSS8X4X.625,HSS8X4X5/8,42.3,11.7,,8,,,4,,,0.625,0.581,82,26.6,70.3
HSS,HSS8X4X.500,HSS8X4X1/2,35.24,9.74,,8,,,4,,,0.5,0.465,71.8,23.6,61.1
HSS,HSS8X4X.375,HSS8X4X3/8,27.48,7.58,,8,,,4,,,0.375,0.349,58.7,19.6,49.3
HSS,HSS8X4X.313,HSS8X4X5/16,23.34,6.43,,8,,,4,,,0.3125,0.291,51,17.2,42.6
HSS,HSS8X4X.250,HSS8X4X1/4,19.02,5.24,,8,,,4,,,0.25,0.233,42.5,14.4,35.3
HSS,HSS8X4X.188,HSS8X4X3/16,14.53,3.98,,8,,,4,,,0.1875,0.174,33.1,11.3,27.2
HSS,HSS8X4X.125,HSS8X4X1/8,9.86,2.7,,8,,,4,,,0.125,0.116,22.9,7.9,18.7
HSS,HSS8X3X.500,HSS8X3X1/2,31.84,8.81,,8,,,3,,,0.5,0.465,58.6,11.7,34.3
HSS,HSS8X3X.375,HSS8X3X3/8,24.93,6.88,,8,,,3,,,0.375,0.349,48.5,10,28.5
HSS,HSS8X3X.313,HSS8X3X5/16,21.21,5.85,,8,,,3,,,0.3125,0.291,42.4,8.81,24.9
HSS,HSS8X3X.250,HSS8X3X1/4,17.32,4.77,,8,,,3,,,0.25,0.233,35.5,7.49,20.8
HSS,HSS8X3X.188,HSS8X3X3/16,13.25,3.63,,8,,,3,,,0.1875,0.174,27.8,5.94,16.2
HSS,HSS8X3X.125,HSS8X3X1/8,9.01,2.46,,8,,,3,,,0.125,0.116,19.3,4.2,11.3
HSS,HSS8X2X.500,HSS8X2X1/2,28.43,7.88,,8,,,2,,,0.5,0.465,45.3,4.19,13.6
HSS,HSS8X2X.375,HSS8X2X3/8,22.37,6.18,,8,,,2,,,0.375,0.349,38.2,3.73,12.1
HSS,HSS8X2X.313,HSS8X2X5/16,19.08,5.26,,8,,,2,,,0.3125,0.291,33.7,3.38,10.9
HSS,HSS8X2X.250,HSS8X2X1/4,15.62,4.3,,8,,,2,,,0.25,0.233,28.5,2.94,9.36
HSS,HSS8X2X.188,HSS8X2X3/16,11.97,3.28,,8,,,2,,,0.1875,0.174,22.4,2.39,7.48
HSS,HSS8X2X.125,HSS8X2X1/8,8.16,2.23,,8,,,2,,,0.125,0.116,15.7,1.72,5.3
HSS,HSS7X7X.625,HSS7X7X5/8,50.81,14,,7,,,7,,,0.625,0.581,93.4,93.4,158
HSS,HSS7X7X.500,HSS7X7X1/2,42.05,11.6,,7,,,7,,,0.5,0.465,80.5,80.5,133
HSS,HSS7X7X.375,HSS7X7X3/8,32.58,8.97,,7,,,7,,,0.375,0.349,65,65,105
HSS,HSS7X7X.313,HSS7X7X5/16,27.59,7.59,,7,,,7,,,0.3125,0.291,56.1,56.1,89.7
HSS,HSS7X7X.250,HSS7X7X1/4,22.42,6.17,,7,,,7,,,0.25,0.233,46.5,46.5,73.5
HSS,HSS7X7X.188,HSS7X7X3/16,17.08,4.67,,7,,,7,,,0.1875,0.174,36,36,56.1
HSS,HSS7X7X.125,HSS7X7X1/8,11.56,3.16,,7,,,7,,,0.125,0.116,24.8,24.8,38.2
HSS,HSS7X5X.500,HSS7X5X1/2,35.24,9.74,,7,,,5,,,0.5,0.465,60.6,35.6,75.8
HSS,HSS7X5X.375,HSS7X5X3/8,27.48,7.58,,7,,,5,,,0.375,0.349,49.5,29.3,60.6
HSS,HSS7X5X.313,HSS7X5X5/16,23.34,6.43,,7,,,5,,,0.3125,0.291,43,25.5,52.1
HSS,HSS7X5X.250,HSS7X5X1/4,19.02,5.24,,7,,,5,,,0.25,0.233,35.9,21.3,42.9
HSS,HSS7X5X.188,HSS7X5X3/16,14.53,3.98,,7,,,5,,,0.1875,0.174,27.9,16.6,32.9
HSS,HSS7X5X.125,HSS7X5X1/8,9.86,2.7,,7,,,5,,,0.125,0.116,19.3,11.6,22.5
HSS,HSS7X4X.500,HSS7X4X1/2,31.84,8.81,,7,,,4,,,0.5,0.465,50.7,20.7,50.5
HSS,HSS7X4X.375,HSS7X4X3/8,24.93,6.88,,7,,,4,,,0.375,0.349,41.8,17.3,41
HSS,HSS7X4X.313,HSS7X4X5/16,21.21,5.85,,7,,,4,,,0.3125,0.291,36.5,15.2,35.4
HSS,HSS7X4X.250,HSS7X4X1/4,17.32,4.77,,7,,,4,,,0.25,0.233,30.5,12.8,29.3
HSS,HSS7X4X.188,HSS7X4X3/16,13.25,3.63,,7,,,4,,,0.1875,0.174,23.8,10,22.7
HSS,HSS7X4X.125,HSS7X4X1/8,9.01,2.46,,7,,,4,,,0.125,0.116,16.6,7.03,15.6
HSS,HSS7X3X.500,HSS7X3X1/2,28.43,7.88,,7,,,3,,,0.5,0.465,40.7,10.2,28.6
HSS,HSS7X3X.375,HSS7X3X3/8,22.37,6.18,,7,,,3,,,0.375,0.349,34.1,8.71,23.9
HSS,HSS7X3X.313,HSS7X3X5/16,19.08,5.26,,7,,,3,,,0.3125,0.291,29.9,7.74,20.9
HSS,HSS7X3X.250,HSS7X3X1/4,15.62,4.3,,7,,,3,,,0.25,0.233,25.2,6.6,17.5
HSS,HSS7X3X.188,HSS7X3X3/16,11.97,3.28,,7,,,3,,,0.1875,0.174,19.8,5.24,13.7
HSS,HSS7X3X.125,HSS7X3X1/8,8.16,2.23,,7,,,3,,,0.125,0.116,13.8,3.71,9.48
HSS,HSS7X2X.250,HSS7X2X1/4,13.91,3.84,,7,,,2,,,0.25,0.233,19.8,2.58,7.95
HSS,HSS7X2X.188,HSS7X2X3/16,10.7,2.93,,7,,,2,,,0.1875,0.174,15.7,2.1,6.35
HSS,HSS7X2X.125,HSS7X2X1/8,7.31,2,,7,,,2,,,0.125,0.116,11.1,1.52,4.51
HSS,HSS6X6X.625,HSS6X6X5/8,42.3,11.7,,6,,,6,,,0.625,0.581,55.2,55.2,94.9
HSS,HSS6X6X.500,HSS6X6X1/2,35.24,9.74,,6,,,6,,,0.5,0.465,48.3,48.3,81.1
HSS,HSS6X6X.375,HSS6X6X3/8,27.48,7.58,,6,,,6,,,0.375,0.349,39.5,39.5,64.6
HSS,HSS6X6X.313,HSS6X6X5/16,23.34,6.43,,6,,,6,,,0.3125,0.291,34.3,34.3,55.4
HSS,HSS6X6X.250,HSS6X6X1/4,19.02,5.24,,6,,,6,,,0.25,0.233,28.6,28.6,45.6
HSS,HSS6X6X.188,HSS6X6X3/16,14.53,3.98,,6,,,6,,,0.1875,0.174,22.3,22.3,35
HSS,HSS6X6X.125,HSS6X6X1/8,9.86,2.7,,6,,,6,,,0.125,0.116,15.5,15.5,23.9
HSS,HSS6X5X.500,HSS6X5X1/2,31.84,8.81,,6,,,5,,,0.5,0.465,41.1,30.8,59.8
HSS,HSS6X5X.375,HSS6X5X3/8,24.93,6.88,,6,,,5,,,0.375,0.349,33.9,25.5,48.1
HSS,HSS6X5X.313,HSS6X5X5/16,21.21,5.85,,6,,,5,,,0.3125,0.291,29.6,22.3,41.4
HSS,HSS6X5X.250,HSS6X5X1/4,17.32,4.77,,6,,,5,,,0.25,0.233,24.7,18.7,34.2
HSS,HSS6X5X.188,HSS6X5X3/16,13.25,3.63,,6,,,5,,,0.1875,0.174,19.3,14.6,26.3
HSS,HSS6X5X.125,HSS6X5X1/8,9.01,2.46,,6,,,5,,,0.125,0.116,13.4,10.2,18
HSS,HSS6X4X.500,HSS6X4X1/2,28.43,7.88,,6,,,4,,,0.5,0.465,34,17.8,40.3
HSS,HSS6X4X.375,HSS6X4X3/8,22.37,6.18,,6,,,4,,,0.375,0.349,28.3,14.9,32.8
HSS,HSS6X4X.313,HSS6X4X5/16,19.08,5.26,,6,,,4,,,0.3125,0.291,24.8,13.2,28.4
HSS,HSS6X4X.250,HSS6X4X1/4,15.62,4.3,,6,,,4,,,0.25,0.233,20.9,11.1,23.6
HSS,HSS6X4X.188,HSS6X4X3/16,11.97,3.28,,6,,,4,,,0.1875,0.174,16.4,8.76,18.2
HSS,HSS6X4X.125,HSS6X4X1/8,8.16,2.23,,6,,,4,,,0.125,0.116,11.4,6.15,12.6
HSS,HSS6X3X.500,HSS6X3X1/2,25.03,6.95,,6,,,3,,,0.5,0.465,26.8,8.69,23.1
HSS,HSS6X3X.375,HSS6X3X3/8,19.82,5.48,,6,,,3,,,0.375,0.349,22.7,7.48,19.3
HSS,HSS6X3X.313,HSS6X3X5/16,16.96,4.68,,6,,,3,,,0.3125,0.291,20.1,6.67,16.9
HSS,HSS6X3X.250,HSS6X3X1/4,13.91,3.84,,6,,,3,,,0.25,0.233,17,5.7,14.2
HSS,HSS6X3X.188,HSS6X3X3/16,10.7,2.93,,6,,,3,,,0.1875,0.174,13.4,4.55,11.1
HSS,HSS6X3X.125,HSS6X3X1/8,7.31,2,,6,,,3,,,0.125,0.116,9.43,3.23,7.73
HSS,HSS6X2X.375,HSS6X2X3/8,17.27,4.78,,6,,,2,,,0.375,0.349,17.1,2.77,8.42
HSS,HSS6X2X.313,HSS6X2X5/16,14.83,4.1,,6,,,2,,,0.3125,0.291,15.3,2.52,7.6
HSS,HSS6X2X.250,HSS6X2X1/4,12.21,3.37,,6,,,2,,,0.25,0.233,13.1,2.21,6.55
HSS,HSS6X2X.188,HSS6X2X3/16,9.42,2.58,,6,,,2,,,0.1875,0.174,10.5,1.8,5.24
HSS,HSS6X2X.125,HSS6X2X1/8,6.46,1.77,,6,,,2,,,0.125,0.116,7.42,1.31,3.72
HSS,HSS5-1/2X5-1/2X.375,HSS5-1/2X5-1/2X3/8,24.93,6.88,,5.5,,,5.5,,,0.375,0.349,29.7,29.7,49
HSS,HSS5-1/2X5-1/2X.313,HSS5-1/2X5-1/2X5/16,21.21,5.85,,5.5,,,5.5,,,0.3125,0.291,25.9,25.9,42.2
HSS,HSS5-1/2X5-1/2X.250,HSS5-1/2X5-1/2X1/4,17.32,4.77,,5.5,,,5.5,,,0.25,0.233,21.7,21.7,34.8
HSS,HSS5-1/2X5-1/2X.188,HSS5-1/2X5-1/2X3/16,13.25,3.63,,5.5,,,5.5,,,0.1875,0.174,17,17,26.7
HSS,HSS5-1/2X5-1/2X.125,HSS5-1/2X5-1/2X1/8,9.01,2.46,,5.5,,,5.5,,,0.125,0.116,11.8,11.8,18.3
HSS,HSS5X5X.500,HSS5X5X1/2,28.43,7.88,,5,,,5,,,0.5,0.465,26,26,44.6
HSS,HSS5X5X.375,HSS5X5X3/8,22.37,6.18,,5,,,5,,,0.375,0.349,21.7,21.7,36.1
HSS,HSS5X5X.313,HSS5X5X5/16,19.08,5.26,,5,,,5,,,0.3125,0.291,19,19,31.2
HSS,HSS5X5X.250,HSS5X5X1/4,15.62,4.3,,5,,,5,,,0.25,0.233,16,16,25.8
HSS,HSS5X5X.188,HSS5X5X3/16,11.97,3.28,,5,,,5,,,0.1875,0.174,12.6,12.6,19.9
HSS,HSS5X5X.125,HSS5X5X1/8,8.16,2.23,,5,,,5,,,0.125,0.116,8.8,8.8,13.7
HSS,HSS5X4X.500,HSS5X4X1/2,25.03,6.95,,5,,,4,,,0.5,0.465,21.2,14.9,30.3
HSS,HSS5X4X.375,HSS5X4X3/8,19.82,5.48,,5,,,4,,,0.375,0.349,17.9,12.6,24.9
HSS,HSS5X4X.313,HSS5X4X5/16,16.96,4.68,,5,,,4,,,0.3125,0.291,15.8,11.1,21.7
HSS,HSS5X4X.250,HSS5X4X1/4,13.91,3.84,,5,,,4,,,0.25,0.233,13.4,9.46,18
HSS,HSS5X4X.188,HSS5X4X3/16,10.7,2.93,,5,,,4,,,0.1875,0.174,10.6,7.48,14
HSS,HSS5X4X.125,HSS5X4X1/8,7.31,2,,5,,,4,,,0.125,0.116,7.42,5.27,9.66
HSS,HSS5X3X.500,HSS5X3X1/2,21.63,6.02,,5,,,3,,,0.5,0.465,16.4,7.18,17.6
HSS,HSS5X3X.375,HSS5X3X3/8,17.27,4.78,,5,,,3,,,0.375,0.349,14.1,6.25,14.9
HSS,HSS5X3X.313,HSS5X3X5/16,14.83,4.1,,5,,,3,,,0.3125,0.291,12.6,5.6,13.1
HSS,HSS5X3X.250,HSS5X3X1/4,12.21,3.37,,5,,,3,,,0.25,0.233,10.7,4.81,11
HSS,HSS5X3X.188,HSS5X3X3/16,9.42,2.58,,5,,,3,,,0.1875,0.174,8.53,3.85,8.64
HSS,HSS5X3X.125,HSS5X3X1/8,6.46,1.77,,5,,,3,,,0.125,0.116,6.03,2.75,6.02
HSS,HSS5X2-1/2X.250,HSS5X2-1/2X1/4,11.36,3.14,,5,,,2.5,,,0.25,0.233,9.4,3.13,7.93
HSS,HSS5X2-1/2X.188,HSS5X2-1/2X3/16,8.78,2.41,,5,,,2.5,,,0.1875,0.174,7.51,2.53,6.26
HSS,HSS5X2-1/2X.125,HSS5X2-1/2X1/8,6.03,1.65,,5,,,2.5,,,0.125,0.116,5.34,1.82,4.4
HSS,HSS5X2X.375,HSS5X2X3/8,14.72,4.09,,5,,,2,,,0.375,0.349,10.4,2.28,6.61
HSS,HSS5X2X.313,HSS5X2X5/16,12.7,3.52,,5,,,2,,,0.3125,0.291,9.35,2.1,5.99
HSS,HSS5X2X.250,HSS5X2X1/4,10.51,2.91,,5,,,2,,,0.25,0.233,8.08,1.84,5.17
HSS,HSS5X2X.188,HSS5X2X3/16,8.15,2.24,,5,,,2,,,0.1875,0.174,6.5,1.51,4.15
HSS,HSS5X2X.125,HSS5X2X1/8,5.61,1.54,,5,,,2,,,0.125,0.116,4.65,1.1,2.95
HSS,HSS4-1/2X4-1/2X.500,HSS4-1/2X4-1/2X1/2,25.03,6.95,,4.5,,,4.5,,,0.5,0.465,18.1,18.1,31.3
HSS,HSS4-1/2X4-1/2X.375,HSS4-1/2X4-1/2X3/8,19.82,5.48,,4.5,,,4.5,,,0.375,0.349,15.3,15.3,25.7
HSS,HSS4-1/2X4-1/2X.313,HSS4-1/2X4-1/2X5/16,16.96,4.68,,4.5,,,4.5,,,0.3125,0.291,13.5,13.5,22.3
HSS,HSS4-1/2X4-1/2X.250,HSS4-1/2X4-1/2X1/4,13.91,3.84,,4.5,,,4.5,,,0.25,0.233,11.4,11.4,18.5
HSS,HSS4-1/2X4-1/2X.188,HSS4-1/2X4-1/2X3/16,10.7,2.93,,4.5,,,4.5,,,0.1875,0.174,9.02,9.02,14.4
HSS,HSS4-1/2X4-1/2X.125,HSS4-1/2X4-1/2X1/8,7.31,2,,4.5,,,4.5,,,0.125,0.116,6.35,6.35,9.92
HSS,HSS4X4X.500,HSS4X4X1/2,21.63,6.02,,4,,,4,,,0.5,0.465,11.9,11.9,21
HSS,HSS4X4X.375,HSS4X4X3/8,17.27,4.78,,4,,,4,,,0.375,0.349,10.3,10.3,17.5
HSS,HSS4X4X.313,HSS4X4X5/16,14.83,4.1,,4,,,4,,,0.3125,0.291,9.14,9.14,15.3
HSS,HSS4X4X.250,HSS4X4X1/4,12.21,3.37,,4,,,4,,,0.25,0.233,7.8,7.8,12.8
HSS,HSS4X4X.188,HSS4X4X3/16,9.42,2.58,,4,,,4,,,0.1875,0.174,6.21,6.21,10
HSS,HSS4X4X.125,HSS4X4X1/8,6.46,1.77,,4,,,4,,,0.125,0.116,4.4,4.4,6.91
HSS,HSS4X3X.375,HSS4X3X3/8,14.72,4.09,,4,,,3,,,0.375,0.349,7.93,5.01,10.6
HSS,HSS4X3X.313,HSS4X3X5/16,12.7,3.52,,4,,,3,,,0.3125,0.291,7.14,4.52,9.41
HSS,HSS4X3X.250,HSS4X3X1/4,10.51,2.91,,4,,,3,,,0.25,0.233,6.15,3.91,7.96
HSS,HSS4X3X.188,HSS4X3X3/16,8.15,2.24,,4,,,3,,,0.1875,0.174,4.93,3.16,6.26
HSS,HSS4X3X.125,HSS4X3X1/8,5.61,1.54,,4,,,3,,,0.125,0.116,3.52,2.27,4.38
HSS,HSS4X2-1/2X.250,HSS4X2-1/2X1/4,9.66,2.67,,4,,,2.5,,,0.25,0.233,5.32,2.53,5.78
HSS,HSS4X2-1/2X.188,HSS4X2-1/2X3/16,7.51,2.06,,4,,,2.5,,,0.1875,0.174,4.3,2.06,4.59
HSS,HSS4X2-1/2X.125,HSS4X2-1/2X1/8,5.18,1.42,,4,,,2.5,,,0.125,0.116,3.09,1.49,3.23
HSS,HSS4X2X.375,HSS4X2X3/8,12.17,3.39,,4,,,2,,,0.375,0.349,5.6,1.8,4.83
HSS,HSS4X2X.313,HSS4X2X5/16,10.58,2.94,,4,,,2,,,0.3125,0.291,5.13,1.67,4.4
HSS,HSS4X2X.250,HSS4X2X1/4,8.81,2.44,,4,,,2,,,0.25,0.233,4.49,1.48,3.82
HSS,HSS4X2X.188,HSS4X2X3/16,6.87,1.89,,4,,,2,,,0.1875,0.174,3.66,1.22,3.08
