Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,Ht,OD,bf,B,tw,tf,tnom,tdes,Ix,Iy,J
W,W24X370,W24X370,370,109,28,,,13.7,,1.52,2.72,,,13400,1160,201
W,W24X335,W24X335,335,98.3,27.5,,,13.5,,1.38,2.48,,,11900,1030,152
W,W24X306,W24X306,306,89.7,27.1,,,13.4,,1.26,2.28,,,10700,919,117
W,W24X279,W24X279,279,81.9,26.7,,,13.3,,1.16,2.09,,,9600,823,90.5
W,W24X250,W24X250,250,73.5,26.3,,,13.2,,1.04,1.89,,,8490,724,66.6
W,W24X229,W24X229,229,67.2,26,,,13.1,,0.96,1.73,,,7650,651,51.3
W,W24X207,W24X207,207,60.7,25.7,,,13,,0.87,1.57,,,6820,578,38.3
W,W24X192,W24X192,192,56.5,25.5,,,13,,0.81,1.46,,,6260,530,30.8
W,W24X176,W24X176,176,51.7,25.2,,,12.9,,0.75,1.34,,,5680,479,23.9
W,W24X162,W24X162,162,47.8,25,,,13,,0.705,1.22,,,5170,443,18.5
W,W24X146,W24X146,146,43,24.7,,,12.9,,0.65,1.09,,,4580,391,13.4
W,W24X131,W24X131,131,38.6,24.5,,,12.9,,0.605,0.96,,,4020,340,9.5
W,W24X117,W24X117,117,34.4,24.3,,,12.8,,0.55,0.85,,,3540,297,6.72
W,W24X104,W24X104,104,30.7,24.1,,,12.8,,0.5,0.75,,,3100,259,4.72
W,W24X103,W24X103,103,30.3,24.5,,,9,,0.55,0.98,,,3000,119,7.07
W,W24X94,W24X94,94,27.7,24.3,,,9.07,,0.515,0.875,,,2700,109,5.26
W,W24X84,W24X84,84,24.7,24.1,,,9.02,,0.47,0.77,,,2370,94.4,3.7
W,W24X76,W24X76,76,22.4,23.9,,,8.99,,0.44,0.68,,,2100,82.5,2.68
W,W24X68,W24X68,68,20.1,23.7,,,8.97,,0.415,0.585,,,1830,70.4,1.87
W,W24X62,W24X62,62,18.2,23.7,,,7.04,,0.43,0.59,,,1550,34.5,1.71
W,W24X55,W24X55,55,16.2,23.6,,,7.01,,0.395,0.505,,,1350,29.1,1.18
W,W21X275,W21X275,275,81.8,24.1,,,12.9,,1.22,2.19,,,7690,787,107
W,W21X248,W21X248,248,73.8,23.7,,,12.8,,1.1,1.99,,,6830,699,80.7
W,W21X223,W21X223,223,66.5,23.4,,,12.7,,1,1.79,,,6080,614,59.5
W,W21X201,W21X201,201,59.3,23,,,12.6,,0.91,1.63,,,5310,542,40.9
W,W21X182,W21X182,182,53.6,22.7,,,12.5,,0.83,1.48,,,4730,483,30.7
W,W21X166,W21X166,166,48.8,22.5,,,12.4,,0.75,1.36,,,4280,435,23.6
W,W21X147,W21X147,147,43.2,22.1,,,12.5,,0.72,1.15,,,3630,376,15.4
W,W21X132,W21X132,132,38.8,21.8,,,12.4,,0.65,1.04,,,3220,333,11.3
W,W21X122,W21X122,122,35.9,21.7,,,12.4,,0.6,0.96,,,2960,305,8.98
W,W21X111,W21X111,111,32.6,21.5,,,12.3,,0.55,0.875,,,2670,274,6.83
W,W21X101,W21X101,101,29.8,21.4,,,12.3,,0.5,0.8,,,2420,248,5.21
W,W21X93,W21X93,93,27.3,21.6,,,8.42,,0.58,0.93,,,2070,92.9,6.03
